reference,title,type,issn,part-of,url,reading-lists,eissn,doi
20EC47EA-91A9-081E-34AA-C89982B3DACD,Re-thinking residential mobility,article,0309-1325,Progress in Human Geography,http://readinglists.ucl.ac.uk/items/20EC47EA-91A9-081E-34AA-C89982B3DACD.html,2F2A7E4B-B152-BF2B-F545-9CA96493F756:Optional,1477-0288,10.1177/0309132515575417
22BFEB6C-C7B3-4052-3ADC-A78F52462C88,It’s your data – take control – Data protection in the EU,document,,,http://readinglists.ucl.ac.uk/items/22BFEB6C-C7B3-4052-3ADC-A78F52462C88.html,AEDE270D-2CDE-A8DD-D05F-2D85E0F4FEA1:Optional,,
232EF1E8-0DC6-BAA1-2FDC-F8F2174FAD2A,"Exploring, modelling and predicting spatiotemporal variations in house prices",article,0570-1864,The Annals of Regional Science,http://readinglists.ucl.ac.uk/items/232EF1E8-0DC6-BAA1-2FDC-F8F2174FAD2A.html,2F2A7E4B-B152-BF2B-F545-9CA96493F756:Optional,1432-0592,10.1007/s00168-015-0660-6
27790F43-4C85-5308-88C9-D7A73D15F92D,Zipf's Law and the Growth of Cities,article,0002-8282,American Economic Review,http://readinglists.ucl.ac.uk/items/27790F43-4C85-5308-88C9-D7A73D15F92D.html,2F2A7E4B-B152-BF2B-F545-9CA96493F756:Optional,,10.1257/aer.89.2.129
27C84489-6438-3822-2DEC-6F2480D22067,NetLogo,webpage,,,http://readinglists.ucl.ac.uk/items/27C84489-6438-3822-2DEC-6F2480D22067.html,FF07D106-8495-A29B-1581-0986A4A5FB26:Essential,,
27E52E9C-298A-996F-EF3D-42D4DF39A638,The Role of Standards in Smart Cities,document,,,http://readinglists.ucl.ac.uk/items/27E52E9C-298A-996F-EF3D-42D4DF39A638.html,AEDE270D-2CDE-A8DD-D05F-2D85E0F4FEA1:Optional,,
290668A2-2CA9-A54A-7E99-D7EE87AF3460,Twenty years of progress: GIScience in 2010,article,,Journal of Spatial Information Science,http://readinglists.ucl.ac.uk/items/290668A2-2CA9-A54A-7E99-D7EE87AF3460.html,F66757BF-E61E-B8BB-95A0-1F25B51E3818,1948-660X,10.5311/JOSIS.2010.1.2
2A12A608-A064-CFA6-853D-C0E4BA187C60,Tobler's First Law of Geography: A Big Idea for a Small World?,article,0004-5608,Annals of the Association of American Geographers,http://readinglists.ucl.ac.uk/items/2A12A608-A064-CFA6-853D-C0E4BA187C60.html,F66757BF-E61E-B8BB-95A0-1F25B51E3818,1467-8306,10.1111/j.1467-8306.2004.09402003.x
2A1BB98E-35C1-C1FC-C9F5-CDAC4D8D0A84,Smart cities of the future,article,1951-6355,The European Physical Journal Special Topics,http://readinglists.ucl.ac.uk/items/2A1BB98E-35C1-C1FC-C9F5-CDAC4D8D0A84.html,AEDE270D-2CDE-A8DD-D05F-2D85E0F4FEA1:Recommended,1951-6401,10.1140/epjst/e2012-01703-3
2A69B6EB-B310-FCCB-4B17-A98356E986E6,Entropy in Urban and Regional Modelling: Retrospect and Prospect. 城市和区域建模中的熵：回顾与展望,article,1538-4632,Geographical Analysis,http://readinglists.ucl.ac.uk/items/2A69B6EB-B310-FCCB-4B17-A98356E986E6.html,A6D7ED9B-ABF0-F08D-060D-726808C7AF2D,,10.1111/j.1538-4632.2010.00799.x
2AEE5F8C-D843-B658-B0DD-E67AD0705E51,Power-Law Distributions in Empirical Data,article,0036-1445,SIAM Review,http://readinglists.ucl.ac.uk/items/2AEE5F8C-D843-B658-B0DD-E67AD0705E51.html,2F2A7E4B-B152-BF2B-F545-9CA96493F756:Optional,1095-7200,10.1137/070710111
